name,fips,mi2
"Madison, IL",17119,740.39
"Clark, IN",18019,376.23
"Owen, IN",18119,387.85
"Buchanan, IA",19019,573.38
"Lyon, IA",19119,587.68
"Chautauqua, KS",20019,644.87
"Meade, KS",20119,979.72
"Boyd, KY",21019,161.83
"Knott, KY",21119,353.03
"Todd, KY",21219,377
"Calcasieu, LA",22019,1094.42
"Webster, LA",22119,615.13
"Penobscot, ME",23019,3556.42
"Dorchester, MD",24019,982.97
"Nantucket, MA",25019,303.28
"Benzie, MI",26019,859.72
"Montmorency, MI",26119,562.46
"Carver, MN",27019,376.23
"Polk, MN",27119,1997.89
"Choctaw, MS",28019,419.84
"Quitman, MS",28119,406.52
"Boone, MO",29019,691.19
"McDonald, MO",29119,539.74
"Warren, MO",29219,437.76
"Daniels, MT",30019,1426.57
"Buffalo, NE",31019,975.31
"Madison, NE",31119,575.09
"Lyon, NV",32019,2016.49
"Sullivan, NH",33019,551.98
"Hunterdon, NJ",34019,437.85
"Guadalupe, NM",35019,3031.81
"Clinton, NY",36019,1117.68
"Westchester, NY",36119,500.21
"Brunswick, NC",37019,1050.06
"Mecklenburg, NC",37119,549.74
"Cavalier, ND",38019,1510.22
"Carroll, OH",39019,399.02
"Muskingum, OH",39119,672.61
"Carter, OK",40019,833.78
"Payne, OK",40119,697.18
"Douglas, OR",41019,5134.06
"Butler, PA",42019,794.85
"Union, PA",42119,317.15
"Charleston, SC",45019,1357.14
"Butte, SD",46019,2266.43
"Sully, SD",46119,1070.42
"Carter, TN",47019,347.64
"Maury, TN",47119,615.57
"Bandera, TX",48019,797.6
"Delta, TX",48119,277.94
"Hockley, TX",48219,908.57
"Mason, TX",48319,932.26
"Shelby, TX",48419,834.6
"Grand, UT",49019,3694.3
"Orleans, VT",50019,720.33
"Bedford, VA",51019,769.36
"Middlesex, VA",51119,210.76
"Ferry, WA",53019,2257.46
"Fayette, WV",54019,668.4
"Clark, WI",55019,1219.14
"Taylor, WI",55119,984.58
"Johnson, WY",56019,4174.86
"Anchorage, AK",2020,1961.51
"Sitka, AK",2220,4849.75
"Bristol, VA",51520,11.59
"Franklin, VA",51620,7.72
"Norton, VA",51720,7.26
"Waynesboro, VA",51820,14.06
"Chilton, AL",1021,700.8
"Talladega, AL",1121,760.32
"Pinal, AZ",4021,5374.49
"Clay, AR",5021,641.47
"Randolph, AR",5121,656.08
"Glenn, CA",6021,1327.25
"Conejos, CO",8021,1290.99
"Washington, CO",8121,2524.29
"Collier, FL",12021,2305.09
"Suwannee, FL",12121,691.94
"Bibb, GA",13021,255.17
"Fulton, GA",13121,534.59
"Oglethorpe, GA",13221,442.2
"Worth, GA",13321,574.61
"Boundary, ID",16021,1278.2
"Christian, IL",17021,715.71
"Marion, IL",17121,575.73
"Clay, IN",18021,360.42
"Parke, IN",18121,450.12
"Buena Vista, IA",19021,580.1
"Madison, IA",19121,562.33
"Cherokee, KS",20021,591.02
"Miami, KS",20121,590.2
"Boyle, KY",21021,182.71
"Knox, KY",21121,387.72
"Trigg, KY",21221,481.12
"Caldwell, LA",22021,540.77
"West Baton Rouge, LA",22121,203.64
"Piscataquis, ME",23021,4377.71
"Frederick, MD",24021,667.4
"Norfolk, MA",25021,443.97
"Berrien, MI",26021,1581.47
"Muskegon, MI",26121,1459.29
"Cass, MN",27021,2414.31
"Pope, MN",27121,717.33
"Claiborne, MS",28021,501.44
"Rankin, MS",28121,806.16
"Buchanan, MO",29021,414.6
"Macon, MO",29121,812.58
"Washington, MO",29221,762.5
"Dawson, MT",30021,2383.23
"Burt, NE",31021,497.12
"Merrick, NE",31121,494.39
"Mineral, NV",32021,3813.17
"Mercer, NJ",34021,228.87
"Harding, NM",35021,2126.1
"Columbia, NY",36021,648.32
"Wyoming, NY",36121,596.48
"Buncombe, NC",37021,660.05
"Mitchell, NC",37121,222.15
"Dickey, ND",38021,1141.76
"Champaign, OH",39021,429.74
"Noble, OH",39121,404.6
"Cherokee, OK",40021,776.45
"Pittsburg, OK",40121,1377.92
"Gilliam, OR",41021,1222.91
"Cambria, PA",42021,693.48
"Venango, PA",42121,683.08
"Cherokee, SC",45021,397.3
"Campbell, SD",46021,771.39
"Todd, SD",46121,1391
"Cheatham, TN",47021,307.16
"Meigs, TN",47121,216.79
"Bastrop, TX",48021,895.99
"Denton, TX",48121,957.72
"Hood, TX",48221,436.82
"Matagorda, TX",48321,1612.33
"Sherman, TX",48421,923.27
"Iron, UT",49021,3302.12
"Rutland, VT",50021,944.43
"Bland, VA",51021,358.74
"Montgomery, VA",51121,389.44
"Franklin, WA",53021,1265.38
"Gilmer, WV",54021,340.09
"Columbia, WI",55021,795.78
"Trempealeau, WI",55121,742.05
"Laramie, WY",56021,2687.82
"Kenai Peninsula, AK",2122,21664.33
"Choctaw, AL",1023,920.91
"Tallapoosa, AL",1123,766.3
"Santa Cruz, AZ",4023,1238.22
"Cleburne, AR",5023,591.95
"St. Francis, AR",5123,642.44
"Humboldt, CA",6023,4052.52
"Costilla, CO",8023,1230.55
"Weld, CO",8123,4021.76
"Columbia, FL",12023,801.12
"Taylor, FL",12123,1232.05
"Bleckley, GA",13023,219.14
"Gilmer, GA",13123,431.85
"Paulding, GA",13223,315.09
"Butte, ID",16023,2233.66
"Clark, IL",17023,504.91
"Marshall, IL",17123,398.53
"Clinton, IN",18023,405.3
"Perry, IN",18123,386.36
"Butler, IA",19023,581.6
"Mahaska, IA",19123,573.45
"Cheyenne, KS",20023,1020.89
"Mitchell, KS",20123,718.65
"Bracken, KY",21023,208.91
"Larue, KY",21123,263.74
"Trimble, KY",21223,156.24
"Cameron, LA",22023,1931.76
"West Carroll, LA",22123,360.35
"Sagadahoc, ME",23023,370.29
"Garrett, MD",24023,656.08
"Plymouth, MA",25023,1093.48
"Branch, MI",26023,519.52
"Newaygo, MI",26123,861.45
"Chippewa, MN",27023,587.85
"Ramsey, MN",27123,170.16
"Clarke, MS",28023,693.46
"Scott, MS",28123,610.43
"Butler, MO",29023,699.01
"Madison, MO",29123,497.64
"Wayne, MO",29223,774.13
"Deer Lodge, MT",30023,741.27
"Butler, NE",31023,584.43
"Morrill, NE",31123,1429.92
"Nye, NV",32023,18159.71
"Middlesex, NJ",34023,322.65
"Hidalgo, NM",35023,3446.2
"Cortland, NY",36023,501.55
"Yates, NY",36123,371.85
"Burke, NC",37023,514.91
"Montgomery, NC",37123,501.1
"Divide, ND",38023,1294.24
"Clark, OH",39023,403.83
"Ottawa, OH",39123,620.41
"Choctaw, OK",40023,800.72
"Pontotoc, OK",40123,725.5
"Grant, OR",41023,4529.53
"Cameron, PA",42023,398.61
"Warren, PA",42123,897.83
"Chester, SC",45023,586.19
"Charles Mix, SD",46023,1150.27
"Tripp, SD",46123,1617.51
"Chester, TN",47023,288.76
"Monroe, TN",47123,652.88
"Baylor, TX",48023,901.08
"DeWitt, TX",48123,910.55
"Hopkins, TX",48223,792.8
"Maverick, TX",48323,1291.84
"Smith, TX",48423,949.55
"Juab, UT",49023,3406.46
"Washington, VT",50023,695.83
"Botetourt, VA",51023,545.98
"Garfield, WA",53023,718.18
"Grant, WV",54023,480.23
"Crawford, WI",55023,599.29
"Vernon, WI",55123,816.5
"Lincoln, WY",56023,4089.23
"Clarke, AL",1025,1252.6
"Tuscaloosa, AL",1125,1352.03
"Yavapai, AZ",4025,8128.33
"Cleveland, AR",5025,598.84
"Saline, AR",5125,730.5
"Imperial, CA",6025,4482.08
"Crowley, CO",8025,800.38
"Yuma, CO",8125,2369.22
"Union, FL",12125,249.72
"Brantley, GA",13025,447.44
"Glascock, GA",13125,144.46
"Peach, GA",13225,151.47
"Camas, ID",16025,1079.06
"Clay, IL",17025,469.87
"Mason, IL",17125,563.41
"Crawford, IN",18025,308.87
"Pike, IN",18125,341.1
"Calhoun, IA",19025,572.33
"Marion, IA",19125,570.58
"Clark, KS",20025,977.27
"Montgomery, KS",20125,651.45
"Breathitt, KY",21025,495.32
"Laurel, KY",21125,443.77
"Union, KY",21225,363.44
"Catahoula, LA",22025,739.5
"West Feliciana, LA",22125,426.05
"Somerset, ME",23025,4095.73
"Harford, MD",24025,526.74
"Suffolk, MA",25025,120.07
"Calhoun, MI",26025,718.49
"Oakland, MI",26125,908.07
"Chisago, MN",27025,442.53
"Red Lake, MN",27125,432.52
"Clay, MS",28025,416.05
"Sharkey, MS",28125,434.92
"Caldwell, MO",29025,429.75
"Maries, MO",29125,530.01
"Webster, MO",29225,593.74
"Fallon, MT",30025,1623.06
"Cass, NE",31025,566.27
"Nance, NE",31125,448.08
"Monmouth, NJ",34025,665.34
"Lea, NM",35025,4394.33
"Delaware, NY",36025,1468.11
"Cabarrus, NC",37025,365.02
"Moore, NC",37125,706.29
"Dunn, ND",38025,2082.38
"Clermont, OH",39025,457.74
"Paulding, OH",39125,418.92
"Cimarron, OK",40025,1841.27
"Pottawatomie, OK",40125,793.39
"Harney, OR",41025,10227.05
"Carbon, PA",42025,388.79
"Washington, PA",42125,861
"Chesterfield, SC",45025,805.84
"Clark, SD",46025,967.88
"Turner, SD",46125,617.5
"Claiborne, TN",47025,441.56
"Montgomery, TN",47125,543.87
"Bee, TX",48025,880.39
"Dickens, TX",48125,905.26
"Houston, TX",48225,1236.93
"Medina, TX",48325,1334.63
"Somervell, TX",48425,191.91
"Kane, UT",49025,4108.6
"Windham, VT",50025,798.18
"Brunswick, VA",51025,569.4
"Nelson, VA",51125,474.34
"Grant, WA",53025,2791.37
"Greenbrier, WV",54025,1024.49
"Dane, WI",55025,1238.43
"Vilas, WI",55125,1017.92
"Natrona, WY",56025,5375.91
"Clay, AL",1027,606.05
"Walker, AL",1127,805.36
"Yuma, AZ",4027,5519.32
"Columbia, AR",5027,766.94
"Scott, AR",5127,898.15
"Inyo, CA",6027,10227.75
"Custer, CO",8027,739.95
"DeSoto, FL",12027,639.55
"Volusia, FL",12127,1432.51
"Brooks, GA",13027,497.81
"Glynn, GA",13127,583.07
"Pickens, GA",13227,232.8
"Canyon, ID",16027,603.52
"Clinton, IL",17027,503.5
"Massac, IL",17127,242.13
"Daviess, IN",18027,436.89
"Porter, IN",18127,521.64
"Carroll, IA",19027,570.27
"Marshall, IA",19127,573.07
"Clay, KS",20027,655.46
"Morris, KS",20127,702.9
"Breckinridge, KY",21027,585.55
"Lawrence, KY",21127,420.16
"Warren, KY",21227,547.72
"Claiborne, LA",22027,767.52
"Winn, LA",22127,956.98
"Waldo, ME",23027,852.81
"Howard, MD",24027,253.56
"Worcester, MA",25027,1579.11
"Cass, MI",26027,508.51
"Oceana, MI",26127,1306.83
"Clay, MN",27027,1052.78
"Redwood, MN",27127,881.28
"Coahoma, MS",28027,583.18
"Simpson, MS",28127,590.57
"Callaway, MO",29027,847.26
"Marion, MO",29127,444.07
"Worth, MO",29227,266.77
"Fergus, MT",30027,4350.51
"Cedar, NE",31027,745.86
"Nemaha, NE",31127,411.91
"Pershing, NV",32027,6067.89
"Morris, NJ",34027,481.36
"Lincoln, NM",35027,4831.64
"Dutchess, NY",36027,825.43
"Caldwell, NC",37027,474.32
"Nash, NC",37127,542.72
"Eddy, ND",38027,644.26
"Clinton, OH",39027,412.31
"Perry, OH",39127,412.62
"Cleveland, OK",40027,558.39
"Pushmataha, OK",40127,1422.86
"Hood River, OR",41027,533.6
"Centre, PA",42027,1111.93
"Wayne, PA",42127,750.59
"Clarendon, SC",45027,695.71
"Clay, SD",46027,416.73
"Union, SD",46127,467.11
"Clay, TN",47027,259.26
"Moore, TN",47127,130.38
"Bell, TX",48027,1087.19
"Dimmit, TX",48127,1334.58
"Howard, TX",48227,904.27
"Menard, TX",48327,902.32
"Starr, TX",48427,1229.38
"Millard, UT",49027,6828.51
"Windsor, VT",50027,976.09
"Buchanan, VA",51027,503.9
"New Kent, VA",51127,223.77
"Grays Harbor, WA",53027,2224.59
"Hampshire, WV",54027,644.67
"Dodge, WI",55027,907.08
"Walworth, WI",55127,576.55
"Niobrara, WY",56027,2627.99
"Los Alamos, NM",35028,109.35
"Cleburne, AL",1029,561.06
"Washington, AL",1129,1088.62
"Conway, AR",5029,566.71
"Searcy, AR",5129,668.56
"Kern, CA",6029,8162.03
"Delta, CO",8029,1148.61
"Dixie, FL",12029,863.71
"Wakulla, FL",12129,735.78
"Bryan, GA",13029,454.54
"Gordon, GA",13129,357.63
"Pierce, GA",13229,343.67
"Caribou, ID",16029,1798.73
"Coles, IL",17029,510.1
"Menard, IL",17129,315.4
"Dearborn, IN",18029,307.08
"Posey, IN",18129,419.47
"Cass, IA",19029,565.03
"Mills, IA",19129,439.7
"Cloud, KS",20029,718.51
"Morton, KS",20129,729.99
"Bullitt, KY",21029,300.21
"Lee, KY",21129,211.23
"Washington, KY",21229,301.54
"Concordia, LA",22029,748.74
"Washington, ME",23029,3255.14
"Kent, MD",24029,414.32
"Charlevoix, MI",26029,1390.87
"Ogemaw, MI",26129,574.67
"Clearwater, MN",27029,1029.85
"Renville, MN",27129,987.27
"Copiah, MS",28029,779.45
"Smith, MS",28129,637.32
"Camden, MO",29029,708.9
"Mercer, MO",29129,455.21
"Wright, MO",29229,683.24
"Flathead, MT",30029,5256.6
"Chase, NE",31029,897.67
"Nuckolls, NE",31129,576
"Storey, NV",32029,263.81
"Ocean, NJ",34029,915.9
"Luna, NM",35029,2965.5
"Erie, NY",36029,1226.97
"Camden, NC",37029,305.72
"New Hanover, NC",37129,327.93
"Emmons, ND",38029,1554.82
"Columbiana, OH",39029,535.22
"Pickaway, OH",39129,506.84
"Coal, OK",40029,521.32
"Roger Mills, OK",40129,1146.53
"Jackson, OR",41029,2801.94
"Chester, PA",42029,759.86
"Westmoreland, PA",42129,1036.46
"Colleton, SC",45029,1132.05
"Codington, SD",46029,717.13
"Walworth, SD",46129,744.25
"Cocke, TN",47029,443.17
"Morgan, TN",47129,522.41
"Bexar, TX",48029,1256.76
"Donley, TX",48129,933.09
"Hudspeth, TX",48229,4572.26
"Midland, TX",48329,902.03
"Stephens, TX",48429,921.55
"Morgan, UT",49029,610.79
"Buckingham, VA",51029,583.6
"Island, WA",53029,517.39
"Hancock, WV",54029,88.36
"Door, WI",55029,2369.94
"Washburn, WI",55129,853.13
"Park, WY",56029,6968.85
"Ketchikan Gateway, AK",2130,1743.55
"Skagway, AK",2230,0
"Buena Vista, VA",51530,6.83
"Fredericksburg, VA",51630,10.52
"Petersburg, VA",51730,23.22
"Williamsburg, VA",51830,8.74
"Coffee, AL",1031,680.52
"Wilcox, AL",1131,907.54
"Craighead, AR",5031,713.03
"Sebastian, AR",5131,546.07
"Kings, CA",6031,1391.58
"Denver, CO",8031,154.88
"Duval, FL",12031,918.28
"Walton, FL",12131,1238.13
"Bulloch, GA",13031,688.92
"Grady, GA",13131,460.37
"Pike, GA",13231,219.45
"Cassia, ID",16031,2580.45
"Cook, IL",17031,1634.89
"Mercer, IL",17131,568.91
"Decatur, IN",18031,373.44
"Pulaski, IN",18131,434.59
"Cedar, IA",19031,582.01
"Mitchell, IA",19131,469.42
"Coffey, KS",20031,654.63
"Nemaha, KS",20131,719.43
"Butler, KY",21031,431.54
"Leslie, KY",21131,404.37
"Wayne, KY",21231,484.22
"De Soto, LA",22031,894.55
"York, ME",23031,1271.44
"Montgomery, MD",24031,506.22
"Cheboygan, MI",26031,885.26
"Ontonagon, MI",26131,3741.37
"Cook, MN",27031,3339.29
"Rice, MN",27131,516.14
"Covington, MS",28031,414.97
"Stone, MS",28131,448.09
"Cape Girardeau, MO",29031,586.33
"Miller, MO",29131,599.98
"Gallatin, MT",30031,2532.73
"Cherry, NE",31031,6009.87
"Otoe, NE",31131,619.12
"Washoe, NV",32031,6551.48
"Passaic, NJ",34031,197.07
"McKinley, NM",35031,5455.62
"Essex, NY",36031,1916.62
"Carteret, NC",37031,1351.57
"Northampton, NC",37131,550.26
"Foster, ND",38031,646.75
"Coshocton, OH",39031,567.61
"Pike, OH",39131,443.98
"Comanche, OK",40031,1083.91
"Rogers, OK",40131,711.49
"Jefferson, OR",41031,1791.27
"Clarion, PA",42031,608.99
"Wyoming, PA",42131,404.82
"Darlington, SC",45031,567.55
"Corson, SD",46031,2529.52
"Coffee, TN",47031,434.49
"Obion, TN",47131,555.38
"Blanco, TX",48031,713.46
"Duval, TX",48131,1795.82
"Hunt, TX",48231,882.09
"Milam, TX",48331,1021.74
"Sterling, TX",48431,923.58
"Piute, UT",49031,765.81
"Campbell, VA",51031,507.28
"Northampton, VA",51131,795.4
"Jefferson, WA",53031,2178.03
"Hardy, WV",54031,584.52
"Douglas, WI",55031,1480.03
"Washington, WI",55131,435.92
"Platte, WY",56031,2111.02
"Colbert, AL",1033,623.66
"Winston, AL",1133,631.9
"Crawford, AR",5033,604.24
"Sevier, AR",5133,581.38
"Lake, CA",6033,1329.59
"Dolores, CO",8033,1068.14
"Escambia, FL",12033,893.94
"Washington, FL",12133,615.84
"Burke, GA",13033,835.06
"Greene, GA",13133,406.28
"Polk, GA",13233,312.16
"Clark, ID",16033,1765.28
"Crawford, IL",17033,445.77
"Monroe, IL",17133,397.73
"DeKalb, IN",18033,363.87
"Putnam, IN",18133,482.61
"Cerro Gordo, IA",19033,575.18
"Monona, IA",19133,698.89
"Comanche, KS",20033,789.75
"Neosho, KS",20133,578.09
"Caldwell, KY",21033,348.2
"Letcher, KY",21133,339.13
"Webster, KY",21233,335.7
"East Baton Rouge, LA",22033,470.59
"Prince George's, MD",24033,499.42
"Chippewa, MI",26033,2698
"Osceola, MI",26133,573.15
"Cottonwood, MN",27033,648.94
"Rock, MN",27133,482.86
"DeSoto, MS",28033,496.82
"Sunflower, MS",28133,707.26
"Carroll, MO",29033,702.35
"Mississippi, MO",29133,428.93
"Garfield, MT",30033,4847.66
"Cheyenne, NE",31033,1196.55
"Pawnee, NE",31133,432.97
"White Pine, NV",32033,8897.17
"Salem, NJ",34033,372.54
"Mora, NM",35033,1933.6
"Franklin, NY",36033,1697.54
"Caswell, NC",37033,428.47
"Onslow, NC",37133,908.46
"Golden Valley, ND",38033,1002.4
"Crawford, OH",39033,402.85
"Portage, OH",39133,507.14
"Cotton, OK",40033,641.99
"Seminole, OK",40133,640.55
"Josephine, OR",41033,1641.66
"Clearfield, PA",42033,1153.87
"York, PA",42133,910.34
"Dillon, SC",45033,406.56
"Custer, SD",46033,1559.22
"Crockett, TN",47033,265.49
"Overton, TN",47133,434.83
"Borden, TX",48033,906.11
"Eastland, TX",48133,931.98
"Hutchinson, TX",48233,895.01
"Mills, TX",48333,749.95
"Stonewall, TX",48433,920.31
"Rich, UT",49033,1086.36
"Caroline, VA",51033,538.94
"Northumberland, VA",51133,285.68
"King, WA",53033,2306.77
"Harrison, WV",54033,416.63
"Dunn, WI",55033,863.96
"Waukesha, WI",55133,580.52
"Sheridan, WY",56033,2527.14
"Conecuh, AL",1035,852.58
"Crittenden, AR",5035,636.73
"Sharp, AR",5135,606.39
"Lassen, CA",6035,4720.61
"Douglas, CO",8035,842.81
"Flagler, FL",12035,570.79
"Butts, GA",13035,190.02
"Gwinnett, GA",13135,436.74
"Pulaski, GA",13235,249.87
"Clearwater, ID",16035,2488.26
"Cumberland, IL",17035,347.02
"Montgomery, IL",17135,709.79
"Delaware, IN",18035,395.95
"Randolph, IN",18135,453.27
"Cherokee, IA",19035,577.38
"Monroe, IA",19135,434.14
"Cowley, KS",20035,1132.67
"Ness, KS",20135,1075.07
"Calloway, KY",21035,410.81
"Lewis, KY",21135,495.73
"Whitley, KY",21235,445.17
"East Carroll, LA",22035,442.49
"Queen Anne's, MD",24035,509.82
"Clare, MI",26035,575.25
"Oscoda, MI",26135,571.6
"Crow Wing, MN",27035,1156.62
"Roseau, MN",27135,1678.48
"Forrest, MS",28035,470.2
"Tallahatchie, MS",28135,652.13
"Carter, MO",29035,509.06
"Moniteau, MO",29135,418.87
"Glacier, MT",30035,3037.12
"Clay, NE",31035,573.56
"Perkins, NE",31135,884.33
"Somerset, NJ",34035,305.07
"Otero, NM",35035,6627.84
"Fulton, NY",36035,532.94
"Catawba, NC",37035,413.52
"Orange, NC",37135,401.15
"Grand Forks, ND",38035,1439.91
"Cuyahoga, OH",39035,1245.62
"Preble, OH",39135,426.35
"Craig, OK",40035,762.78
"Sequoyah, OK",40135,714.93
"Klamath, OR",41035,6136.19
"Clinton, PA",42035,898.12
"Dorchester, SC",45035,576.74
"Davison, SD",46035,436.81
"Yankton, SD",46135,532.66
"Cumberland, TN",47035,684.97
"Perry, TN",47135,422.93
"Bosque, TX",48035,1002.72
"Ector, TX",48135,901.76
"Irion, TX",48235,1051.68
"Mitchell, TX",48335,915.98
"Sutton, TX",48435,1454.52
"Salt Lake, UT",49035,807.83
"Carroll, VA",51035,477.84
"Nottoway, VA",51135,316.13
"Poquoson, VA",51735,78.43
"Kitsap, WA",53035,565.98
"Jackson, WV",54035,471.62
"Eau Claire, WI",55035,645.31
"Waupaca, WI",55135,765.38
"Sublette, WY",56035,4935.97
"Charles City, VA",51036,203.9
"Coosa, AL",1037,666.41
"Cross, AR",5037,622.38
"Stone, AR",5137,609.47
"Los Angeles, CA",6037,4752.32
"Eagle, CO",8037,1691.89
"Franklin, FL",12037,1026.45
"Calhoun, GA",13037,283.59
"Habersham, GA",13137,279.21
"Putnam, GA",13237,360.66
"Custer, ID",16037,4936.92
"DeKalb, IL",17037,635.02
"Morgan, IL",17137,572.29
"Dubois, IN",18037,435.25
"Ripley, IN",18137,447.95
"Chickasaw, IA",19037,505.53
"Montgomery, IA",19137,424.84
"Crawford, KS",20037,595.11
"Norton, KS",20137,881.42
"Campbell, KY",21037,159.44
"Lincoln, KY",21137,336.77
"Wolfe, KY",21237,222.88
"East Feliciana, LA",22037,455.72
"St. Mary's, MD",24037,764.54
"Clinton, MI",26037,574.6
"Otsego, MI",26137,526
"Dakota, MN",27037,586.36
"St. Louis, MN",27137,6860.53
"Franklin, MS",28037,566.78
"Tate, MS",28137,410.98
"Cass, MO",29037,702.73
"Monroe, MO",29137,670.26
"Golden Valley, MT",30037,1176.42
"Colfax, NE",31037,418.61
"Phelps, NE",31137,540.62
"Sussex, NJ",34037,535.96
"Quay, NM",35037,2881.98
"Genesee, NY",36037,495.37
"Chatham, NC",37037,709.18
"Pamlico, NC",37137,566.24
"Grant, ND",38037,1666.02
"Darke, OH",39037,600.38
"Putnam, OH",39137,484.28
"Creek, OK",40037,969.82
"Stephens, OK",40137,891.19
"Lake, OR",41037,8359.03
"Columbia, PA",42037,489.81
"Edgefield, SC",45037,506.56
"Day, SD",46037,1091.29
"Ziebach, SD",46137,1971.21
"Davidson, TN",47037,526.16
"Pickett, TN",47137,174.58
"Bowie, TX",48037,922.83
"Edwards, TX",48137,2120.13
"Jack, TX",48237,920.18
"Montague, TX",48337,938.51
"Swisher, TX",48437,900.74
"San Juan, UT",49037,7933.64
"Charlotte, VA",51037,477.46
"Orange, VA",51137,343.44
"Kittitas, WA",53037,2333.24
"Jefferson, WV",54037,211.59
"Florence, WI",55037,497.52
"Waushara, WI",55137,637.44
"Sweetwater, WY",56037,10491.73
"Covington, AL",1039,1043.95
"Dallas, AR",5039,668.21
"Union, AR",5139,1055.36
"Madera, CA",6039,2153.39
"Elbert, CO",8039,1851.01
"Gadsden, FL",12039,528.51
"Camden, GA",13039,782.52
"Hall, GA",13139,429.21
"Quitman, GA",13239,160.93
"Elmore, ID",16039,3100.69
"De Witt, IL",17039,405.18
"Moultrie, IL",17139,344.48
"Elkhart, IN",18039,467.87
"Rush, IN",18139,408.65
"Clarke, IA",19039,431.75
"Muscatine, IA",19139,449.09
"Decatur, KS",20039,894.23
"Osage, KS",20139,719.29
"Carlisle, KY",21039,199.03
"Livingston, KY",21139,342.22
"Woodford, KY",21239,192
"Evangeline, LA",22039,679.64
"Somerset, MD",24039,610.81
"Crawford, MI",26039,563.41
"Ottawa, MI",26139,1632.12
"Dodge, MN",27039,439.64
"Scott, MN",27139,368.57
"George, MS",28039,483.65
"Tippah, MS",28139,460
"Cedar, MO",29039,498.54
"Montgomery, MO",29139,541.97
"Granite, MT",30039,1733.17
"Cuming, NE",31039,574.58
"Pierce, NE",31139,575.31
"Union, NJ",34039,105.46
"Rio Arriba, NM",35039,5896.53
"Greene, NY",36039,658.19
"Cherokee, NC",37039,466.69
"Pasquotank, NC",37139,289.45
"Griggs, ND",38039,716.21
"Defiance, OH",39039,414.21
"Richland, OH",39139,500.36
"Custer, OK",40039,1002.07
"Texas, OK",40139,2048.97
"Lane, OR",41039,4721.95
"Crawford, PA",42039,1037.82
"Fairfield, SC",45039,709.98
"Deuel, SD",46039,636.75
"Decatur, TN",47039,344.93
"Polk, TN",47139,442.39
"Brazoria, TX",48039,1597.54
"Ellis, TX",48139,951.73
"Jackson, TX",48239,857.1
"Montgomery, TX",48339,1076.91
"Tarrant, TX",48439,897.56
"Sanpete, UT",49039,1602.71
"Page, VA",51139,314.11
"Klickitat, WA",53039,1904.29
"Kanawha, WV",54039,911.07
"Fond du Lac, WI",55039,765.87
"Winnebago, WI",55139,578.75
"Teton, WY",56039,4221.96
"Southeast Fairbanks, AK",2240,26235.44
"Charlottesville, VA",51540,10.26
"Galax, VA",51640,8.07
"Portsmouth, VA",51740,46.62
"Winchester, VA",51840,9.33
"Crenshaw, AL",1041,610.91
"Desha, AR",5041,819.57
"Van Buren, AR",5141,724.36
"Marin, CA",6041,828.22
"El Paso, CO",8041,2129.71
"Gilchrist, FL",12041,355.49
"Hancock, GA",13141,478.8
"Rabun, GA",13241,377.01
"Franklin, ID",16041,668.4
